shock	employed
shock	receive
short-bow	armed
shot	retained
shoulder	fitted
shoulders	covering
side	bore
side	flanked
side	fought
side	grant
side	grew
side	left
side	persisted
side	placed
side	secured
sides	compose
sides	show
siege-operations	protected
sites	taken
skill	required
skirmish	inspired
skirmish	overthrow
skirmishes	produced
skirmishes	wear
skirmishing	ended
slope	bound
slope	scramble
snow-storm	rendered
sodbury	chipping
soil	defending
soldier	adapt
soldier	assumed
soldier	attain
soldier	owes
soldier	rested
soldier	rooted
soldier	stood
soldier	wished
soldiers	begged
soldiers	bound
soldiers	demoralized
soldiers	put
soldiers	resigned
soldiers	respected
soldiers	spread
soldiers	stifled
soldiery	stand
songs	worked
south-east	protected
space	cover
space	left
spaniards	fell
spaniards	laid
spaniards	rushed
spaniards	turned
spear-point	turn
spearmen	called
spearmen	formed
spearmen	make
spears	broke
spears	exceeding
spears	shorten
spears	snapped
speculations	confined
spot	arrived
spot	fixed
spot	rooted
spot	wait
spring	enabled
spur	touched
squadron	charging
squadron	pass
squadron	presented
square	form
square	meet
squares	befell
stakes	fix
stakes	traced
state	needs
statements	drawing
staves	armed
steadiness	rushes
steppes	accustomed
stragglers	cutting
strangers	incorporated
strangers	obeyed
stream	divided
stream	pass
stream	touch
strength	exhausted
strength	waste
strength	wields
strength	worsting
stress	laid
stroke	required
stronghold	placed
stronghold	served
strongholds	expelled
strongholds	left
structure	called
structure	utilised
struggle	prolonged
struggle	turned
stuck	stood
subjects	hailed
success	bears
success	disordered
success	following
success	owing
success	won
successes	owed
successes	represent
succour	bring
succour	coming
sultan	faced
sultans	disregarded
summons	needing
superiority	established
superiority	laid
superstition	approach
superstition	gave
superstition	reached
superstitions	reverted
supply	finding
support	form
support	found
supposition	based
supremacy	aimed
supremacy	asserted
supremacy	retained
surcoat	wore
